Model,Family,Line,Platform,OPN Tray,OPN PIB,OPN MPK,Launch Date,# of CPU Cores,# of Threads,# of GPU Cores,Compute Cores,Base Clock,Max Boost Clock ¹ ²,Total L1 Cache,Total L2 Cache,Total L3 Cache,Unlocked,CMOS,Package,PCI Express® Version,Thermal Solution PIB,Thermal Solution MPK,Default TDP / TDP,cTDP,Max Temps,*OS Support,System Memory Specification,System Memory Type,Memory Channels,Graphics Frequency,Graphics Model,Graphics Core Count,Supported Technologies,DisplayPort,HDMI
Ryzen™ 9 3900XT,AMD Ryzen™ Processors,AMD Ryzen™ 9 Desktop Processors,,,100-100000277WOF,,20-Jul,12,24,,,3.8GHz,Up to 4.7GHz,,6MB,64MB,Yes,TSMC 7nm FinFET,,PCIe 4.0,,,105W,,,,3200MHz,DDR4,,,Discrete Graphics Card Required,,"AMD StoreMI Technology, AMD Zen Core Architecture, AMD Ryzen™ Master Utility",,
Ryzen™ 7 3800XT,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,,,100-100000279WOF,,20-Jul,8,16,,,3.9GHz,Up to 4.7GHz,,4MB,32MB,Yes,TSMC 7nm FinFET,AM4,PCIe 4.0,,,105W,,,,3200MHz,DDR4,,,Discrete Graphics Card Required,,"AMD StoreMI Technology, AMD Zen Core Architecture, AMD Ryzen™ Master Utility",,
Ryzen™ 5 3600XT,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,,,100-100000281BOX,,20-Jul,6,12,,,3.8GHz,Up to 4.5GHz,,3MB,32MB,Yes,TSMC 7nm FinFET,AM4,PCIe 4.0,,,95W,,,,3200MHz,DDR4,,,Discrete Graphics Card Required,,"AMD StoreMI Technology, AMD Zen Core Architecture, AMD Ryzen™ Master Utility",,
Ryzen™ Threadripper™ 3990X,AMD Ryzen™ Processors,AMD Ryzen™ Threadripper™ Processors,Boxed Processor,100-000000163,100-100000163WOF,,2/7/2020,64,128,,,2.9GHz,Up to 4.3GHz,4096KB,32MB,256MB,Yes,TSMC 7nm FinFET,sTRX4,PCIe 4.0,,,280W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",3200MHz,DDR4,4,,Discrete Graphics Card Required,,"AMD Zen Core Architecture, AMD Ryzen™ Master Utility",,
Ryzen™ Threadripper™ 3970X,AMD Ryzen™ Processors,AMD Ryzen™ Threadripper™ Processors,Boxed Processor,100-000000011,100-100000011WOF,,11/25/2019,32,64,,,3.7GHz,Up to 4.5GHz,2048KB,16MB,128MB,Yes,TSMC 7nm FinFET,sTRX4,PCIe 4.0,Not included,,280W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",3200MHz,DDR4,4,,Discrete Graphics Card Required,,"AMD Zen Core Architecture, AMD Ryzen™ Master Utility",,
Ryzen™ Threadripper™ 3960X,AMD Ryzen™ Processors,AMD Ryzen™ Threadripper™ Processors,Boxed Processor,100-000000010,100-100000010WOF,,11/25/2019,24,48,,,3.8GHz,Up to 4.5GHz,1536KB,12MB,128MB,Yes,TSMC 7nm FinFET,sTRX4,PCIe 4.0,Not included,,280W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",3200MHz,DDR4,4,,Discrete Graphics Card Required,,"AMD Zen Core Architecture, AMD Ryzen™ Master Utility",,
Ryzen™ 9 3950X,AMD Ryzen™ Processors,AMD Ryzen™ 9 Desktop Processors,Boxed Processor,100-000000051,100-100000051WOF,,,16,32,,,3.5GHz,Up to 4.7GHz,1024KB,8MB,64MB,Yes,TSMC 7nm FinFET,AM4,PCIe 4.0 x16,"Cooler Not Included, Liquid Cooling Recommended",,105W,,,,3200MHz,DDR4,2,,Discrete Graphics Card Required,,,,
Ryzen™ 9 3900X,AMD Ryzen™ Processors,AMD Ryzen™ 9 Desktop Processors,Boxed Processor,100-000000023,100-100000023BOX,100-100000023MPK,7/7/2019,12,24,,,3.8GHz,Up to 4.6GHz,768KB,6MB,64MB,Yes,TSMC 7nm FinFET,AM4,PCIe 4.0 x16,Wraith Prism with RGB LED,Wraith PRISM,105W,,95°C,,3200MHz,DDR4,2,,Discrete Graphics Card Required,,,,
Ryzen™ 9 3900 Processor (OEM Only),AMD Ryzen™ Processors,AMD Ryzen™ 9 Desktop Processors,Desktop,,,,9/24/2019,12,24,,,3.1GHz,Up to 4.3GHz,768KB,6MB,64MB,Yes,TSMC 7nm FinFET,AM4,PCIe 4.0 x16,N/A,N/A,65W,,95°C,,3200MHz,DDR4,2,,Discrete Graphics Card Required,,,,
Ryzen™ 7 3800X,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Boxed Processor,100-000000025,100-100000025BOX,100-100000025MPK,7/7/2019,8,16,,,3.9GHz,Up to 4.5GHz,512KB,4MB,32MB,Yes,TSMC 7nm FinFET,AM4,PCIe 4.0 x16,Wraith Prism with RGB LED,Wraith PRISM,105W,,95°C,,3200MHz,DDR4,2,,Discrete Graphics Card Required,,,,
