Part Number,Density,Part Status,Depth,Width,Op. Temp.,Industry Speed
MT40A1G16KD-062E,16Gb,Sampling,1Gb,x16,0C to +95C,DDR4-3200
MT40A1G16KNR-062E,16Gb,Production,1Gb,x16,0C to +95C,DDR4-3200
MT40A1G16KNR-075,16Gb,Production,1Gb,x16,0C to +95C,DDR4-2666
MT40A1G16RC-062E,16Gb,Production,1Gb,x16,0C to +95C,DDR4-3200
MT40A1G16RC-062E IT,16Gb,Production,1Gb,x16,-40C to +95C,DDR4-3200
MT40A1G16WBU-083E,16Gb,Production,1Gb,x16,0C to +95C,DDR4-2400
MT40A1G4RH-083E,4Gb,Production,1Gb,x4,0C to +95C,DDR4-2400
MT40A1G4SA-075,4Gb,Production,1Gb,x4,0C to +95C,DDR3-1333
MT40A1G8SA-062E,8Gb,Production,1Gb,x8,0C to +95C,DDR4-3200
MT40A1G8SA-062E AAT,8Gb,Production,1Gb,x8,-40C to +105C,DDR4-3200
MT40A1G8SA-062E AIT,8Gb,Production,1Gb,x8,-40C to +95C,DDR4-3200
MT40A1G8SA-062E AUT,8Gb,Production,1Gb,x8,-40C to +125C,DDR4-3200
MT40A1G8SA-062E IT,8Gb,Production,1Gb,x8,-40C to +95C,DDR4-3200
MT40A1G8SA-075,8Gb,Production,1Gb,x8,0C to +95C,DDR4-2666
MT40A1G8WE-075E AIT,8Gb,Contact Factory,1Gb,x8,-40C to +95C,DDR4-2666
MT40A1G8WE-083E,8Gb,Production,1Gb,x8,0C to +95C,DDR4-2400
MT40A1G8WE-083E AAT,8Gb,Contact Factory,1Gb,x8,-40C to +105C,DDR4-2400
MT40A1G8WE-083E AIT,8Gb,Contact Factory,1Gb,x8,-40C to +95C,DDR4-2400
MT40A1G8WE-083E AUT,8Gb,Contact Factory,1Gb,x8,-40C to +125C,DDR4-2400
MT40A1G8WE-083E IT,8Gb,Production,1Gb,x8,-40C to +95C,DDR4-2400
MT40A256M16GE-075E AAT,4Gb,Production,256Mb,x16,-40C to +105C,DDR4-2666
MT40A256M16GE-075E AIT,4Gb,Contact Factory,256Mb,x16,-40C to +95C,DDR4-2666
MT40A256M16GE-075E AUT,4Gb,Contact Factory,256Mb,x16,-40C to +125C,DDR4-2666
MT40A256M16GE-075E IT,4Gb,Production,256Mb,x16,-40C to +95C,DDR4-2666
MT40A256M16GE-083E AAT,4Gb,Contact Factory,256Mb,x16,-40C to +105C,DDR4-2400
MT40A256M16GE-083E AIT,4Gb,Contact Factory,256Mb,x16,-40C to +95C,DDR4-2400
MT40A256M16GE-083E AUT,4Gb,Production,256Mb,x16,-40C to +125C,DDR4-2400
MT40A256M16GE-083E IT,4Gb,Production,256Mb,x16,-40C to +95C,DDR4-2400
MT40A256M16LY-062E AAT,4Gb,Production,256Mb,x16,-40C to +105C,DDR4-3200
MT40A256M16LY-062E AIT,4Gb,Production,256Mb,x16,-40C to +95C,DDR4-3200
MT40A256M16LY-062E AUT,4Gb,Production,256Mb,x16,-40C to +125C,DDR4-3200
MT40A256M16LY-062E IT,4Gb,Production,256Mb,x16,-40C to +95C,DDR4-1600
MT40A256M16LY-075,4Gb,Production,256Mb,x16,0C to +95C,DDR4-1333
MT40A2G16SKL-062E,32Gb,Sampling,2Gb,x16,0C to +95C,DDR4-3200
MT40A2G4SA-062E,8Gb,Production,2Gb,x4,0C to +95C,DDR4-3200
