Part Number,Density,Technology,Part Status,Depth,Width,Voltage,Package,Pin Count,Clock Rate,Data Rate,Cycle Time,Op. Temp.,Brand
EDB1316BDBH-1DAAT-F,1Gb,LPDDR2,Production,64Mb,x16,1.8V,FBGA,134-ball,533 MHz,LPDDR2-1066,1.875ns,-40C to +105C,Micron
EDB1316BDBH-1DIT-F,1Gb,LPDDR2,Production,64Mb,x16,1.8V,FBGA,134-ball,533 MHz,LPDDR2-1066,1.875ns,-40C to +85C,Micron
EDB1332BDBH-1DAAT-F,1Gb,LPDDR2,Production,32Mb,x32,1.2V,FBGA,134-ball,533 MHz,LPDDR2-1066,1.875ns,-40C to +105C,Micron
EDB1332BDBH-1DAUT-F,1Gb,LPDDR2,Production,32Mb,x32,1.2V,FBGA,134-ball,533 MHz,LPDDR2-1066,1.875ns,-40C to +125C,Micron
EDB1332BDBH-1DIT-F,1Gb,LPDDR2,Production,32Mb,x32,1.2V,FBGA,134-ball,533 MHz,LPDDR2-1066,1.875ns,-40C to +85C,Micron
EDB2432B4MA-1DAAT-F,2Gb,LPDDR2,Production,64Mb,x32,1.2V,VFBGA,134-ball,533 MHz,LPDDR2-1066,1.875ns,-30C to +105C,Micron
EDB2432B4MA-1DAUT-F,2Gb,LPDDR2,Production,64Mb,x32,1.2V,VFBGA,134-ball,533 MHz,LPDDR2-1066,1.875ns,-40C to +125C,Micron
EDB2432B4MA-1DIT-F,2Gb,LPDDR2,Production,64Mb,x32,1.2V,VFBGA,134-ball,533 MHz,LPDDR2-1066,1.875ns,-40C to +85C,Micron
EDB4432BBBJ-1DAAT-F,4Gb,LPDDR2,Production,128Mb,x32,1.2V,WFBGA,134-ball,533 MHz,LPDDR2-1066,1.875ns,-30C to +105C,Micron
EDB4432BBBJ-1DAIT-F,4Gb,LPDDR2,Production,128Mb,x32,1.2V,WFBGA,134-ball,533 MHz,LPDDR2-1066,1.875ns,-40C to +85C,Micron
EDB4432BBBJ-1DAUT-F,4Gb,LPDDR2,Production,128Mb,x32,1.2V,WFBGA,134-ball,533 MHz,LPDDR2-1066,1.875ns,-40C to +125C,Micron
EDB4432BBBJ-1D-F,4Gb,LPDDR2,Production,128Mb,x32,1.2V,WFBGA,134-ball,533 MHz,LPDDR2-1066,1.875ns,-30C to +85C,Micron
EDB4432BBPA-1D-F,4Gb,LPDDR2,Production,128Mb,x32,1.2V,VFBGA,168-ball,533 MHz,LPDDR2-1066,1.875ns,-30C to +85C,Micron
EDB5432BEBH-1DAAT-F,512Mb,LPDDR2,Production,16Mb,x32,1.2V,FBGA,134-ball,533 MHz,LPDDR2-1066,1.875ns,-40C to +105C,Elpida
EDB5432BEBH-1DAUT-F,512Mb,LPDDR2,Production,16Mb,x32,1.2V,FBGA,134-ball,533 MHz,LPDDR2-1066,1.875ns,-40C to +125C,Elpida
EDB5432BEBH-1DIT-F,512Mb,LPDDR2,Production,16Mb,x32,1.2V,FBGA,134-ball,533 MHz,LPDDR2-1066,1.875ns,-40C to +85C,Elpida
EDB8132B4PB-8D-F,8Gb,LPDDR2,Production,256Mb,x32,1.2V,WFBGA,168-ball,400 MHz,LPDDR2-800,2.5ns,-30C to +85C,Micron
EDB8132B4PM-1D-F,8Gb,LPDDR2,Production,256Mb,x32,1.2V,VFBGA,168-ball,533 MHz,LPDDR2-1066,1.875ns,-30C to +85C,Micron
EDB8164B4PK-1D-F,8Gb,LPDDR2,Production,128Mb,x64,1.8V,WFBGA,220-ball,533 MHz,LPDDR2-1066,1.875ns,-30C to +85C,Micron
EDB8164B4PR-1D-F,8Gb,LPDDR2,Production,128Mb,x64,1.8V,WFBGA,216-ball,533 MHz,LPDDR2-1066,1.875ns,-30C to +85C,Micron
EDB8164B4PT-1DAT-F,8Gb,LPDDR2,Production,128Mb,x64,1.8V,WFBGA,216-ball,533 MHz,LPDDR2-1066,1.875ns,-40C to +105C,Micron
EDB8164B4PT-1D-F,8Gb,LPDDR2,Production,128Mb,x64,1.8V,WFBGA,216-ball,533 MHz,LPDDR2-1066,1.875ns,-30C to +85C,Micron
EDB8164B4PT-1DIT-F,8Gb,LPDDR2,Production,128Mb,x64,1.8V,WFBGA,216-ball,533 MHz,LPDDR2-1066,1.875ns,-40C to +85C,Micron
EDBA164B2PF-1D-F,16Gb,LPDDR2,Production,256Mb,x64,1.2V,WFBGA,220-ball,533 MHz,LPDDR2-1066,1.875ns,-30C to +85C,Micron
EDBA164B2PR-1D-F,16Gb,LPDDR2,Production,256Mb,x64,1.8V,TFBA,216-ball,533 MHz,LPDDR2-1066,1.875ns,-30C to +85C,Micron
EDBA232B2PB-1D-F,16Gb,LPDDR2,Production,512Mb,x32,1.2V,VFBGA,168-ball,533 MHz,LPDDR2-1066,1.875ns,-30C to +85C,Micron
EDFA232A2MA-GD-F,16Gb,LPDDR3,Contact Factory,512Mb,x32,1.2V,VFBGA,178-ball,800 MHz,DDR3-1600,(Empty),-30C to +85C,Micron
EDFB232A1MA-JD-F,32Gb,LPDDR3,Contact Factory,1Gb,x32,1.2V,VFBGA,178-ball,933 MHz,(Empty),(Empty),-30C to +85C,Micron
MT42L128M64D2LL-18 WT,8Gb,LPDDR2,End of Life,128Mb,x64,1.2V,WFBGA,216-ball,533 MHz,LPDDR2-1066,1.875ns,-30C to +85C,Micron
MT42L128M64D2LL-25 WT,8Gb,LPDDR2,End of Life,128Mb,x64,1.2V,WFBGA,216-ball,400 MHz,LPDDR2-800,2.5ns,-30C to +85C,Micron
MT42L256M32D2LG-18 WT,8Gb,LPDDR2,End of Life,256Mb,x32,1.2V,VFBGA,168-ball,533 MHz,LPDDR2-1066,1.875ns,-30C to +85C,Micron
MT42L256M32D2LG-25 WT,8Gb,LPDDR2,End of Life,256Mb,x32,1.2V,VFBGA,168-ball,400 MHz,LPDDR2-800,2.5ns,-30C to +85C,Micron
MT42L256M64D4LM-18 WT,16Gb,LPDDR2,End of Life,256Mb,x64,1.2V,VFBGA,216-ball,533 MHz,LPDDR2-1066,1.875ns,-30C to +85C,Micron
MT46H128M16LFDD-48 AIT,2Gb,LPDDR,Production,128Mb,x16,1.8V,VFBGA,60-ball,208 MHz,LPDDR416,5ns,-40C to +85C,Micron
MT46H128M16LFDD-48 IT,2Gb,LPDDR,Production,128Mb,x16,1.8V,VFBGA,60-ball,208 MHz,LPDDR416,5ns,-40C to +85C,Micron
MT46H128M16LFDD-48 WT,2Gb,LPDDR,Production,128Mb,x16,1.8V,VFBGA,60-ball,208 MHz,LPDDR416,5ns,-25C to +85C,Micron
MT46H16M32LFB5-5 IT,512Mb,LPDDR,Production,16Mb,x32,1.8V,VFBGA,90-ball,200 MHz,LPDDR400,5ns,-40C to +85C,Micron
MT46H16M32LFB5-6 AIT,512Mb,LPDDR,Production,16Mb,x32,1.8V,VFBGA,90-ball,167 MHz,LPDDR333,6ns,-40C to +85C,Micron
MT46H16M32LFBQ-5 AAT,512Mb,LPDDR,Production,16Mb,x32,1.8V,VFBGA,90-ball,200 MHz,LPDDR400,5ns,-40C to +105C,Micron
MT46H32M16LFBF-5 AIT,512Mb,LPDDR,Production,32Mb,x16,1.8V,VFBGA,60-ball,200 MHz,LPDDR400,5ns,-40C to +85C,Micron
MT46H32M16LFBF-5 IT,512Mb,LPDDR,Production,32Mb,x16,1.8V,VFBGA,60-ball,200 MHz,LPDDR400,5ns,-40C to +85C,Micron
MT46H32M16LFBF-6 AAT,512Mb,LPDDR,Production,32Mb,x16,1.8V,VFBGA,60-ball,167 MHz,LPDDR333,6ns,-40C to +105C,Micron
MT46H32M32LFB5-5 AAT,1Gb,LPDDR,Production,32Mb,x32,1.8V,VFBGA,90-ball,200 MHz,LPDDR400,5ns,-40C to +105C,Micron
MT46H32M32LFB5-5 AIT,1Gb,LPDDR,Production,32Mb,x32,1.8V,VFBGA,90-ball,200 MHz,LPDDR400,5ns,-40C to +85C,Micron
MT46H64M16LFBF-5 AAT,1Gb,LPDDR,End of Life,64Mb,x16,1.8V,VFBGA,60-ball,200 MHz,LPDDR400,5ns,-40C to +105C,Micron
MT46H64M16LFBF-5 AIT,1Gb,LPDDR,Production,64Mb,x16,1.8V,VFBGA,60-ball,200 MHz,LPDDR400,5ns,-40C to +85C,Micron
MT46H64M16LFBF-5 IT,1Gb,LPDDR,Production,64Mb,x16,1.8V,VFBGA,60-ball,200 MHz,LPDDR400,5ns,-40C to +85C,Micron
MT46H64M32LFBQ-48 AIT,2Gb,LPDDR,Production,64Mb,x32,1.8V,VFBGA,90-ball,208 MHz,LPDDR416,5ns,-40C to +85C,Micron
MT46H64M32LFBQ-48 IT,2Gb,LPDDR,Production,64Mb,x32,1.8V,VFBGA,90-ball,208 MHz,LPDDR416,5ns,-40C to +85C,Micron
MT46H64M32LFBQ-48 WT,2Gb,LPDDR,Production,64Mb,x32,1.8V,VFBGA,90-ball,208 MHz,LPDDR416,5ns,-25C to +85C,Micron
MT48H16M32LFB5-6 IT,512Mb,LPSDR,Production,16Mb,x32,1.8V,VFBGA,90-ball,167 MHz,(Empty),6ns,-40C to +85C,Micron
MT48H32M16LFB4-6 AT,512Mb,LPSDR,End of Life,32Mb,x16,1.8V,VFBGA,54-ball,167 MHz,(Empty),6ns,-40C to +105C,Micron
MT48H32M16LFB4-6 IT,512Mb,LPSDR,Production,32Mb,x16,1.8V,VFBGA,54-ball,167 MHz,(Empty),6ns,-40C to +85C,Micron
MT52L1G32D4PG-107 WT,32Gb,LPDDR3,Production,1Gb,x32,1.2V,VFBGA,178-ball,933 MHz,DDR3-1866,1.071ns,-30C to +85C,Micron
MT52L256M32D1PF-107 WT,8Gb,LPDDR3,Production,256Mb,x32,1.2V,WFBGA,178-ball,933 MHz,DDR3-1866,1.071ns,-30C to +85C,Micron
MT52L256M64D2GN-107 WT,16Gb,LPDDR3,End of Life,256Mb,x64,1.2V,WFBGA,256-ball,933 MHz,DDR3-1866,1.071ns,-30C to +85C,Micron
MT52L256M64D2LZ-107 WT,16Gb,LPDDR3,Production,256Mb,x64,1.2V,WFBGA,216-ball,933 MHz,DDR3-1866,1.071ns,-30C to +85C,Micron
MT52L256M64D2PP-107 WT,16Gb,LPDDR3,Production,256Mb,x64,1.2V,VFBGA,253-ball,933 MHz,DDR3-1866,1.071ns,-30C to +85C,Micron
MT52L512M32D2PF-107 WT,16Gb,LPDDR3,Production,512Mb,x32,1.2V,WFBGA,178-ball,933 MHz,DDR3-1866,1.071ns,-30C to +85C,Micron
MT52L512M32D2PU-107 WT,16Gb,LPDDR3,Production,512Mb,x32,1.2V,WFBGA,168-ball,933 MHz,DDR3-1866,1.071ns,-30C to +85C,Micron
MT52L512M64D4GN-107 WT,32Gb,LPDDR3,Production,512Mb,x64,1.2V,WFBGA,256-ball,933 MHz,DDR3-1866,1.071ns,-30C to +85C,Micron
MT52L512M64D4PQ-107 WT,32Gb,LPDDR3,Production,512Mb,x64,1.2V,VFBGA,253-ball,933 MHz,DDR3-1866,1.071ns,-30C to +85C,Micron
MT52L768M32D3PU-107 WT,8Gb,LPDDR3,Production,768Mb,x32,1.2V,WFBGA,168-ball,933 MHz,DDR3-1866,1.071ns,-30C to +85C,Micron
MT53B128M32D1DS-062 AAT,4Gb,LPDDR4,Production,128Mb,x32,1.1V,WFBGA,200-ball,1600 MHz,DDR4-3200,(Empty),-40C to +105C,Micron
MT53B128M32D1DS-062 AIT,4Gb,LPDDR4,Production,128Mb,x32,1.1V,WFBGA,200-ball,1600 MHz,DDR4-3200,(Empty),-40C to +95C,Micron
MT53B128M32D1DS-062 AUT,4Gb,LPDDR4,Production,128Mb,x32,1.1V,WFBGA,200-ball,1600 MHz,DDR4-3200,(Empty),-40C to +125C,Micron
MT53B256M32D1DS-062 AAT,8Gb,LPDDR4,Production,256Mb,x32,1.1V,WFBGA,200-ball,1600 MHz,DDR4-3200,(Empty),-40C to +105C,Micron
MT53B256M32D1DS-062 AUT,8Gb,LPDDR4,Production,256Mb,x32,1.1V,WFBGA,200-ball,1600 MHz,DDR4-3200,(Empty),-40C to +125C,Micron
MT53B384M32D2DS-062 AIT,12Gb,LPDDR4,End of Life,384Mb,x32,1.1V,WFBGA,200-ball,1600 MHz,DDR4-3200,(Empty),-40C to +95C,Micron
MT53B384M32D2NP-062 WT,12Gb,LPDDR4,End of Life,384Mb,x32,1.1V,WFBGA,200-ball,1600 MHz,DDR4-3200,(Empty),-30C to +85C,Micron
MT53B384M64D4NK-053 WT,n/a,LPDDR4,Production,384Mb,x64,1.1V,POP,366-ball,1866 MHz,DDR4-3733,(Empty),-25C to +85C,Micron
MT53B512M32D2DS-062 AAT,16Gb,LPDDR4,Production,512Mb,x32,1.1V,WFBGA,200-ball,1600 MHz,DDR4-3200,(Empty),-40C to +105C,Micron
MT53B512M32D2DS-062 AIT,16Gb,LPDDR4,Production,512Mb,x32,1.1V,WFBGA,200-ball,1600 MHz,DDR4-3200,(Empty),-40C to +95C,Micron
MT53B512M64D4NK-053 WT,32Gb,LPDDR4,Contact Factory,512Mb,x64,1.1V,POP,366-ball,1866 MHz,DDR4-3733,(Empty),-25C to +85C,Micron
MT53B512M64D4TX-053 WT,32Gb,LPDDR4,Production,512Mb,x64,1.1V,WFBGA,366-ball,1866 MHz,DDR4-3733,(Empty),-25C to +85C,Micron
MT53B768M32D4DT-062 AIT,24Gb,LPDDR4,Production,768Mb,x32,1.1V,WFBGA,200-ball,1600 MHz,DDR4-3200,(Empty),-40C to +95C,Micron
MT53D1024M32D4DT-046 AAT,32Gb,LPDDR4,Production,1024Mb,x32,1.1V/0.6V,WFBGA,200-ball,2133 MHz,DDR4-4166,(Empty),-40C to +105C,Micron
MT53D1024M32D4DT-046 AUT,32Gb,LPDDR4,Production,1024Mb,x32,1.1V/0.6V,WFBGA,200-ball,2133 MHz,(Empty),(Empty),-40C to +125C,Micron
MT53D1024M32D4DT-046 WT,32Gb,LPDDR4,Production,1024Mb,x32,1.1V/0.6V,VFBGA,200-pin,2133 MHz,DDR4-4266,0.46ns,-25C to +85C,Micron
MT53D1024M32D4DT-053 AAT,32Gb,LPDDR4,Production,1024Mb,x32,1.1V/0.6V,WFBGA,200-ball,1866 MHz,DDR4-3732,(Empty),-40C to +105C,Micron
MT53D4DBBD-DC,(Empty),LPDDR4,Sampling,(Empty),(Empty),(Empty),(Empty),(Empty),(Empty),(Empty),(Empty),(Empty),Micron
MT53D512M16D1DS-046 AAT,8Gb,LPDDR4,Production,512Mb,x16,1.1V,WFBGA,200-ball,2133 MHz,4266Mbps,(Empty),-40C to +105C,Micron
MT53D512M16D1DS-046 AIT,8Gb,LPDDR4,Production,512Mb,x16,1.1V,WFBGA,200-ball,2133 MHz,4266Mbps,(Empty),-40C to +95C,Micron
MT53D512M16D1DS-046 IT,8Gb,LPDDR4,Sampling,512Mb,x16,1.1V,WFBGA,200-ball,2133 MHz,4266Mbps,(Empty),-40C to +95C,Micron
MT53D512M16D1DS-046 WT,8Gb,LPDDR4,Production,512Mb,x16,1.1V,WFBGA,200-ball,2133 MHz,4266Mbps,(Empty),-25C to +85C,Micron
MT53D512M32D2DS-053 AUT,16Gb,LPDDR4,Production,512Mb,x32,1.1V/0.6V,WFBGA,200-ball,1866 MHz,DDR4-3732,(Empty),-40C to +125C,Micron
MT53D6DABE-DC,(Empty),LPDDR4,Sampling,(Empty),(Empty),(Empty),(Empty),(Empty),(Empty),(Empty),(Empty),(Empty),Micron
MT53E128M16D1DS-046 AAT,2Gb,LPDDR4,Production,128Mb,x16,1.1V,WFBGA,200-ball,2133 MHz,4266Mbps,(Empty),-40C to +105C,Micron
MT53E128M16D1DS-046 AIT,2Gb,LPDDR4,Production,128Mb,x16,1.1V,WFBGA,200-ball,2133 MHz,4266Mbps,(Empty),-40C to +95C,Micron
MT53E128M16D1DS-046 WT,2Gb,LPDDR4,Production,128Mb,x16,1.1V,WFBGA,200-ball,2133 MHz,4266Mbps,(Empty),-25C to +85C,Micron
MT53E128M16D1DS-053 AAT,2Gb,LPDDR4,Production,128Mb,x16,1.1V,WFBGA,200-ball,2133 MHz,DDR4-3733,(Empty),-40C to +105C,Micron
MT53E128M16D1DS-053 AIT,2Gb,LPDDR4,Production,128Mb,x16,1.1V,WFBGA,200-ball,2133 MHz,4266Mbps,(Empty),-40C to +95C,Micron
MT53E128M16D1DS-053 IT,2Gb,LPDDR4,Sampling,128Mb,x16,1.1V,WFBGA,200-ball,2133 MHz,4266Mbps,(Empty),-40C to +95C,Micron
MT53E128M16D1DS-053 WT,2Gb,LPDDR4,Production,128Mb,x16,1.1V,WFBGA,200-ball,2133 MHz,4266Mbps,(Empty),-25C to +85C,Micron
MT53E128M32D2DS-046 AAT,4Gb,LPDDR4,Production,128Mb,x32,1.1V/0.6V,WFBGA,200-ball,2133 MHz,DDR4-4266,(Empty),-40C to +105C,Micron
MT53E128M32D2DS-046 AIT,4Gb,LPDDR4,Production,128Mb,x32,1.1V/0.6V,WFBGA,200-ball,2133 MHz,DDR4-4266,(Empty),-40C to +95C,Micron
MT53E128M32D2DS-046 AUT,4Gb,LPDDR4,Production,128Mb,x32,1.1V/0.6V,WFBGA,200-ball,2133 MHz,DDR4-4266,(Empty),-40C to +125C,Micron
MT53E128M32D2DS-053 AAT,4Gb,LPDDR4,Production,128Mb,x32,1.1V/0.6V,WFBGA,200-ball,1866 MHz,DDR4-3732,(Empty),-40C to +105C,Micron
MT53E128M32D2DS-053 AIT,4Gb,LPDDR4,Production,128Mb,x32,1.1V/0.6V,WFBGA,200-ball,1866 MHz,DDR4-3732,(Empty),-40C to +95C,Micron
MT53E128M32D2DS-053 AUT,4Gb,LPDDR4,Production,128Mb,x32,1.1V/0.6V,WFBGA,200-ball,1866 MHz,DDR4-3732,(Empty),-40C to +125C,Micron
MT53E256M16D1DS-046 AAT,4Gb,LPDDR4,Production,256Mb,x16,1.1V,WFBGA,200-ball,2133 MHz,4266Mbps,(Empty),-40C to +105C,Micron
MT53E256M16D1DS-046 AIT,4Gb,LPDDR4,Production,256Mb,x16,1.1V,WFBGA,200-ball,2133 MHz,4266Mbps,(Empty),-40C to +95C,Micron
MT53E256M16D1DS-046 WT,4Gb,LPDDR4,Production,256Mb,x16,1.1V,WFBGA,200-ball,2133 MHz,4266Mbps,(Empty),-35C to +85C,Micron
MT53E256M32D2DS-046 AAT,8Gb,LPDDR4,Production,256Mb,x32,1.1V/0.6V,WFBGA,200-ball,2133 MHz,DDR4-4166,(Empty),-40C to +105C,Micron
MT53E256M32D2DS-046 AIT,8Gb,LPDDR4,Production,256Mb,x32,1.1V/0.6V,WFBGA,200-ball,2133 MHz,DDR4-4166,(Empty),-40C to +95C,Micron
