Part Number,Density,Part Status,NAND Type,Op. Temp.,Voltage,Package,Pin Count,Width,MT/s,Product Name
MT29E512G08CMCCBH7-6,512Gb,End of Life,2D,0C to +70C,3.3V,TBGA,152-ball,x8,333 MT/s,(Empty)
MT29F128G08CBCEBJ4-37ITR,128Gb,Production,3D,-40C to +85C,3.3V,VBGA,132-ball,x8,533 MT/s,(Empty)
MT29F128G08CECDBJ4-6R,128Gb,End of Life,2D,0C to +70C,3.3V,VBGA,132-ball,x8,333 MT/s,FortisFlash
MT29F128G08CFABBWP-12IT,128Gb,Production,2D,-40C to +85C,3.3V,TSOP,48-pin,x8,166 MT/s,(Empty)
MT29F16G08CBACAL72A3WC1,16Gb,Contact Factory,2D,0C to +70C,3.3V,Wafer,n/a,x8,(Empty),(Empty)
MT29F16G08CBACAWP,16Gb,Production,2D,0C to +70C,3.3V,TSOP,48-pin,x8,(Empty),(Empty)
MT29F256G08CJABBWP-12IT,256Gb,End of Life,2D,-40C to +85C,3.3V,TSOP,48-pin,x8,166 MT/s,(Empty)
MT29F32G08CBACAL73A3WC1,32Gb,Contact Factory,2D,0C to +70C,3.3V,Wafer,n/a,x8,(Empty),(Empty)
MT29F32G08CBACAWP-Z,32Gb,Production,2D,0C to +70C,3.3V,TSOP,48-pin,x8,(Empty),(Empty)
MT29F32G08CBADAL83A3WC1,32Gb,Production,2D,0C to +70C,3.3V,Die,n/a,x8,(Empty),(Empty)
MT29F32G08CBEDBL83A3WC1,32Gb,Production,2D,0C to +70C,3.3V,Die,n/a,x8,(Empty),(Empty)
MT29F512G08CMCEBJ4-37ITR,512Gb,Production,3D,-40C to +85C,3.3V,VBGA,132-ball,x8,533 MT/s,(Empty)
MT29F64G08CBAAAWP-Z,64Gb,Production,2D,0C to +70C,3.3V,TSOP,48-pin,x8,(Empty),(Empty)
MT29F64G08CBABAL84A3WC1,64Gb,Production,2D,0C to +70C,3.3V,Wafer,n/a,x8,n/a,(Empty)
MT29F64G08CBABBWP-12IT,64Gb,Production,2D,-40C to +85C,3.3V,TSOP,48-pin,x8,166 MT/s,(Empty)
MT29F64G08CBCDBJ4-6R,64Gb,Contact Factory,2D,0C to +70C,3.3V,VBGA,132-ball,x8,333 MT/s,FortisFlash
MT29F64G08CBEBBL84A3WC1,64Gb,Production,2D,0C to +70C,3.3V,Wafer,n/a,x8,n/a,(Empty)
