Part Number,Density,Part Status,Width,Voltage,Package,Pin Count,MT/s,Op. Temp.
MT29F128G08AJAAAWP-ITZ,128Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F128G08AKCABH2-10IT,128Gb,Production,x8,3.3V,TBGA,100-ball,200 MT/s,-40C to +85C
MT29F128G08AMCABH2-10ITZ,128Gb,Production,x8,3.3V,TBGA,100-ball,200 MT/s,-40C to +85C
MT29F128G08AMCABJ2-10Z,128Gb,End of Life,x8,3.3V,TBGA,132-ball,200 MT/s,0C to +70C
MT29F128G08AMCDBJ5-6,128Gb,Production,x8,3.3V,TBGA,132-ball,333 MT/s,0C to +70C
MT29F16G08ABABAM62B3WC1,16Gb,Production,x8,3.3V,Wafer,n/a,(Empty),0C to +70C
MT29F16G08ABABAWP-AIT,16Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F16G08ABABAWP-IT,16Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F16G08ABACAM72A3WC1,16Gb,Production,x8,3.3V,Wafer,n/a,(Empty),0C to +70C
MT29F16G08ABACAWP-ITZ,16Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F16G08ABACAWP-Z,16Gb,Obsolete,x8,3.3V,TSOP,48-pin,(Empty),0C to +70C
MT29F16G08ABCBBH1-12AIT,16Gb,Production,x8,3.3V,VBGA,100-ball,166 MT/s,-40C to +85C
MT29F16G08ABCCBH1-10ITZ,16Gb,Production,x8,3.3V,VBGA,100-ball,200 MT/s,-40C to +85C
MT29F16G08ABECBM72A3WC1,16Gb,Production,x8,3.3V,Wafer,n/a,(Empty),0C to +70C
MT29F16G08AJADAWP-IT,16Gb,Contact Factory,x8,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F1G01AAADDH4-ITX,1Gb,Production,x1,3.3V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F1G01ABAFD12-AAT,1Gb,Production,x1,3.3V,TBGA,24-ball,(Empty),-40C to +105C
MT29F1G01ABAFD12-IT,1Gb,Production,x1,3.3V,TBGA,24-ball,(Empty),-40C to +85C
MT29F1G01ABAFDSF-AAT,1Gb,Contact Factory,x1,3.3V,SOIC,16-pin,(Empty),-40C to +105C
MT29F1G01ABAFDWB-IT,1Gb,Production,x1,3.3V,U-PDFN-8,8-pin,(Empty),-40C to +85C
MT29F1G01ABBFD12-AAT,1Gb,Production,x1,1.8V,TBGA,24-ball,(Empty),-40C to +105C
MT29F1G01ABBFDWB-IT,1Gb,Production,x1,1.8V,U-PDFN-8,8-pin,(Empty),-40C to +85C
MT29F1G08ABADAH4,1Gb,Obsolete,x8,3.3V,VFBGA,63-ball,(Empty),0C to +70C
MT29F1G08ABADAH4-IT,1Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F1G08ABADAH4-ITX,1Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F1G08ABADAWP,1Gb,Obsolete,x8,3.3V,TSOP,48-pin,(Empty),0C to +70C
MT29F1G08ABADAWP-IT,1Gb,End of Life,x8,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F1G08ABADAWP-ITX,1Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F1G08ABAEAH4,1Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),0C to +70C
MT29F1G08ABAEAH4-AATX,1Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +105C
MT29F1G08ABAEAH4-AITX,1Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F1G08ABAEAH4-ITX,1Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F1G08ABAEAM68M3WC1,1Gb,Production,x8,3.3V,Wafer,n/a,(Empty),0C to +70C
MT29F1G08ABAEAWP,1Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),0C to +70C
MT29F1G08ABAEAWP-AATX,1Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +105C
MT29F1G08ABAEAWP-AITX,1Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F1G08ABAEAWP-IT,1Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F1G08ABAEAWP-ITX,1Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F1G08ABAFAH4-AAT,1Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +105C
MT29F1G08ABAFAH4-AATES,1Gb,Sampling,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +105C
MT29F1G08ABAFAH4-ITE,1Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F1G08ABAFAM78A3WC1,1Gb,Contact Factory,x8,3.3V,Die,n/a,(Empty),(Empty)
MT29F1G08ABAFAM78A3WC1L,1Gb,Production,x8,3.3V,Die,n/a,(Empty),(Empty)
MT29F1G08ABAFAWP-AAT,1Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +105C
MT29F1G08ABAFAWP-AATES,1Gb,Sampling,x8,3.3V,TSOP,48-pin,(Empty),-40C to +105C
MT29F1G08ABAFAWP-ITE,1Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F1G08ABBDAH4-ITX,1Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F1G08ABBEAH4-AITX,1Gb,Production,x8,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F1G08ABBEAH4-IT,1Gb,End of Life,x8,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F1G08ABBEAH4-ITX,1Gb,Production,x8,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F1G08ABBEAM68M3WC1,1Gb,Production,x8,1.8V,Wafer,n/a,(Empty),0C to +70C
MT29F1G08ABBFAH4-AAT,1Gb,Production,x8,1.8V,VFBGA,63-ball,(Empty),-40C to +105C
MT29F1G08ABBFAH4-AATES,1Gb,Sampling,x8,1.8V,VFBGA,63-ball,(Empty),-40C to +105C
MT29F1G08ABBFAH4-ITE,1Gb,Production,x8,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F1G16ABBDAH4-ITX,1Gb,Production,x16,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F1G16ABBDAHC-IT,1Gb,Production,x16,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F1G16ABBEAH4-AITX,1Gb,Production,x16,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F1G16ABBEAH4-ITX,1Gb,Production,x16,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F1G16ABBFAH4-AAT,1Gb,Production,x16,1.8V,VFBGA,63-ball,(Empty),-40C to +105C
MT29F1G16ABBFAH4-AATES,1Gb,Sampling,x16,1.8V,VFBGA,63-ball,(Empty),-40C to +105C
MT29F1G16ABBFAH4-IT,1Gb,Contact Factory,x16,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F256G08AUCABH3-10ITZ,256Gb,Production,x8,3.3V,LBGA,100-ball,200 MT/s,-40C to +85C
MT29F256G08AUCABH3-10Z,256Gb,Obsolete,x8,3.3V,LBGA,100-ball,200 MT/s,0C to +70C
MT29F256G08AUCABJ3-10Z,256Gb,End of Life,x8,3.3V,LBGA,132-ball,200 MT/s,0C to +70C
MT29F2G01ABAGD12-AAT,2Gb,Production,x1,3.3V,TBGA,24-ball,(Empty),-40C to +105C
MT29F2G01ABAGD12-IT,2Gb,Production,x1,3.3V,TBGA,24-ball,(Empty),-40C to +85C
MT29F2G01ABAGDM79A3WC1,2Gb,Production,x1,3.3V,Wafer,n/a,(Empty),0C to +70C
MT29F2G01ABAGDSF-IT,2Gb,Contact Factory,x1/x2/x4,3.3V,SOIC,16-pin,(Empty),-40C to +85C
MT29F2G01ABAGDWB-IT,2Gb,Production,x1,3.3V,U-PDFN-8,8-pin,(Empty),-40C to +85C
MT29F2G01ABBGD12-AAT,2Gb,Sampling,x1,1.8V,TBGA,24-ball,(Empty),-40C to +105C
MT29F2G01ABBGD12-AATES,2Gb,Sampling,x1,1.8V,TBGA,24-ball,(Empty),-40C to +105C
MT29F2G01ABBGDM79A3WC1,2Gb,Production,x1,1.8V,Wafer,n/a,(Empty),0C to +70C
MT29F2G01ABBGDWB-IT,2Gb,Production,x1,1.8V,U-PDFN-8,8-pin,(Empty),-40C to +85C
MT29F2G08ABAEAH4,2Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),0C to +70C
MT29F2G08ABAEAH4-AATX,2Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +105C
MT29F2G08ABAEAH4-AITX,2Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F2G08ABAEAH4-IT,2Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F2G08ABAEAH4-ITX,2Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F2G08ABAEAWP,2Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),0C to +70C
MT29F2G08ABAEAWP-AATX,2Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +105C
MT29F2G08ABAEAWP-AITX,2Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F2G08ABAEAWP-IT,2Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F2G08ABAEAWP-ITX,2Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F2G08ABAGAH4-AAT,2Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +105C
MT29F2G08ABAGAH4-AATES,2Gb,Sampling,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +105C
MT29F2G08ABAGAH4-AIT,2Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F2G08ABAGAH4-AITES,2Gb,Sampling,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F2G08ABAGAH4-IT,2Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F2G08ABAGAH4-ITE,2Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F2G08ABAGAM79A3WC1,2Gb,Production,x8,3.3V,Wafer,(Empty),(Empty),(Empty)
MT29F2G08ABAGAWP-AAT,2Gb,Production,x8,3.3V,TSOP,(Empty),(Empty),(Empty)
MT29F2G08ABAGAWP-AATES,2Gb,Sampling,x8,3.3V,TSOP,(Empty),(Empty),(Empty)
MT29F2G08ABAGAWP-AIT,2Gb,Production,x8,3.3V,TSOP,(Empty),(Empty),(Empty)
MT29F2G08ABAGAWP-AITES,2Gb,Sampling,x8,3.3V,TSOP,(Empty),(Empty),(Empty)
MT29F2G08ABAGAWP-IT,2Gb,Production,x8,3.3V,TSOP,48-ball,(Empty),-40C to +85C
MT29F2G08ABAGAWP-ITE,2Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F2G08ABBEAH4-AITX,2Gb,Production,x8,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F2G08ABBEAH4-IT,2Gb,Production,x8,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F2G08ABBEAH4-ITX,2Gb,Production,x8,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F2G08ABBEAHC-IT,2Gb,Production,x8,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F2G08ABBGAH4-AAT,2Gb,Production,x8,1.8V,VFBGA,63-ball,(Empty),-40C to +105C
MT29F2G08ABBGAH4-AATES,2Gb,Sampling,x8,1.8V,VFBGA,63-ball,(Empty),-40C to +105C
MT29F2G08ABBGAH4-IT,2Gb,Production,x8,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F2G16AABWP-ET,2Gb,Obsolete,x16,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F2G16ABAEAWP-AAT,2Gb,Production,x16,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F2G16ABAEAWP-AIT,2Gb,Production,x16,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F2G16ABAGAWP-AATES,2Gb,Sampling,x16,3.3V,TSOP,48-pin,(Empty),-40C to +105C
MT29F2G16ABAGAWP-AIT,2Gb,Sampling,x16,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F2G16ABAGAWP-AITES,2Gb,Sampling,x16,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F2G16ABBEAH4-AAT,2Gb,Production,x16,1.8V,VFBGA,63-ball,(Empty),0C to +85C
MT29F2G16ABBEAH4-IT,2Gb,End of Life,x16,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F2G16ABBEAHC-AIT,2Gb,Production,x16,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F2G16ABBGAH4-AATES,2Gb,Sampling,x16,1.8V,VFBGA,63-ball,(Empty),-40C to +105C
MT29F2G16ABBGAH4-AIT,2Gb,Production,x16,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F2G16ABBGAH4-AITES,2Gb,Sampling,x16,1.8V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F32G08ABAAAM73A3WC1,32Gb,Production,x8,3.3V,Wafer,n/a,(Empty),0C to +70C
MT29F32G08ABAAAWP-ITZ,32Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +85C
MT29F32G08ABAAAWP-Z,32Gb,End of Life,x8,3.3V,TSOP,48-pin,(Empty),0C to +70C
MT29F32G08ABCABH1-10ITZ,32Gb,Production,x8,3.3V,VBGA,100-ball,200 MT/s,-40C to +85C
MT29F32G08ABCABH1-10Z,32Gb,End of Life,x8,3.3V,VBGA,100-ball,200 MT/s,0C to +70C
MT29F32G08ABCDBJ4-6,32Gb,Production,x8,3.3V,VBGA,132-ball,333 MT/s,0C to +70C
MT29F32G08ABEABM73A3WC1,32Gb,Production,x8,3.3V,Wafer,n/a,(Empty),0C to +70C
MT29F4G01AAADDHC-ITX,4Gb,Production,x1,3.3V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F4G01ABAFD12-AAT,4Gb,Production,x1,3.3V,TBGA,24-ball,166 MT/s,-40C to +105C
MT29F4G01ABAFD12-IT,4Gb,Production,x1,3.3V,TBGA,24-ball,166 MT/s,-40C to +85C
MT29F4G01ABAFDWB-IT,4Gb,Production,x1,3.3V,TBGA,24-ball,166 MT/s,-40C to +85C
MT29F4G01ABBFD12-AAT,4Gb,Production,x1,1.8V,TBGA,(Empty),(Empty),-40C to +105C
MT29F4G01ABBFD12-IT,4Gb,Production,x1,1.8V,TBGA,(Empty),(Empty),-40C to +85C
MT29F4G01ABBFDWB-IT,4Gb,Production,x1,1.8V,U-PDFN-8,(Empty),(Empty),-40C to +85C
MT29F4G01ADAGDWB-IT,4Gb,Production,x1/x2/x4,3.3V,U-PDFN-8,8-pin,(Empty),-40C to +85C
MT29F4G08ABADAH4,4Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),0C to +70C
MT29F4G08ABADAH4-AATX,4Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +105C
MT29F4G08ABADAH4-AITX,4Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F4G08ABADAH4-IT,4Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F4G08ABADAH4-ITX,4Gb,Production,x8,3.3V,VFBGA,63-ball,(Empty),-40C to +85C
MT29F4G08ABADAWP,4Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),0C to +70C
MT29F4G08ABADAWP-AATX,4Gb,Production,x8,3.3V,TSOP,48-pin,(Empty),-40C to +105C
