Part Number,Density,Part Status,Package,Pin Count,Protocol,Voltage,Op. Temp.,Sequential WRITE,Sequential READ,Random Write,Random Read,Endurance
MTFC128GASAOEA-WT,128GB,Production,VFBGA,153-ball,UFS 2.1,1.7V-1.95V,-25C to +85C,500 MB/s,950 MB/s,65000 IOPS,70000 IOPS,3000 P/E cycles
MTFC128GASAONS-AAT,128GB,Sampling,TFBGA,153-ball,UFS 2.1,3.3V,-40C to +105C,(Empty),(Empty),(Empty),(Empty),(Empty)
MTFC128GASAONS-AIT,128GB,Sampling,TFBGA,153-ball,UFS 2.1,3.3V,-40C to +95C,(Empty),(Empty),(Empty),(Empty),(Empty)
MTFC128GASAONS-IT,128GB,Sampling,TFBGA,153-ball,UFS 2.1,3.3V,-40C to +95C,(Empty),(Empty),(Empty),(Empty),(Empty)
MTFC256GASAOAM-WT,256GB,Sampling,VFBGA,153-ball,UFS 2.1,2.7V-3.6V,-25C to +85C,650 MB/s,950 MB/s,70000 IOPS,70000 IOPS,3000 P/E cycles
MTFC256GASAONS-AAT,256GB,Sampling,TFBGA,153-ball,UFS 2.1,3.3V,-40C to +105C,(Empty),(Empty),(Empty),(Empty),(Empty)
MTFC256GASAONS-AIT,256GB,Sampling,TFBGA,153-ball,UFS 2.1,3.3V,-40C to +95C,(Empty),(Empty),(Empty),(Empty),(Empty)
MTFC32GASAONS-AAT,32GB,Sampling,TFBGA,153-ball,UFS 2.1,3.3V,-40C to +105C,(Empty),(Empty),(Empty),(Empty),(Empty)
MTFC32GASAONS-AIT,32GB,Sampling,TFBGA,153-ball,UFS 2.1,3.3V,-40C to +95C,(Empty),(Empty),(Empty),(Empty),(Empty)
MTFC32GASAONS-IT,32GB,Sampling,TFBGA,153-ball,UFS 2.1,3.3V,-40C to +95C,(Empty),(Empty),(Empty),(Empty),(Empty)
MTFC64GASAOEA-WT,64GB,Production,VFBGA,153-ball,UFS 2.1,2.7V-3.6V,-25C to +85C,260 MB/s,900 MB/s,50000 IOPS,45000 IOPS,3000 P/E cycles
MTFC64GASAONS-AAT,64GB,Sampling,TFBGA,153-ball,UFS 2.1,3.3V,-40C to +105C,(Empty),(Empty),(Empty),(Empty),(Empty)
MTFC64GASAONS-AIT,64GB,Sampling,TFBGA,153-ball,UFS 2.1,3.3V,-40C to +95C,(Empty),(Empty),(Empty),(Empty),(Empty)
MTFC64GASAONS-IT,64GB,Sampling,TFBGA,153-ball,UFS 2.1,3.3V,-40C to +95C,(Empty),(Empty),(Empty),(Empty),(Empty)
