Part Number,Density,Part Status,Package,Voltage,MMC Interface,Op. Temp.,Pin Count,Package Size,Applications,Width,Special Options
MTFC128GAPALBH-AAT,128GB,Production,TFBGA,2.7V-3.6V,5.1,-40C to +105C,153-ball,13x11.5x1.1,Automotive,x8,(Empty)
MTFC128GAPALBH-AIT,128GB,Production,WFBGA,2.7V-3.6V,5.1,-40C to +85C,153-ball,13x11.5x1.1,Automotive,x8,(Empty)
MTFC128GAPALNA-AAT,128GB,Production,TBGA,2.7V-3.6V,5.1,-40C to +105C,100-ball,18x14x1.2,Automotive,x8,(Empty)
MTFC128GAPALNA-AIT,128GB,Production,TBGA,2.7V-3.6V,5.1,-40C to +85C,100-ball,18x14x1.2,Automotive,x8,(Empty)
MTFC128GAPALNS-AAT,128GB,Production,TFBGA,2.7V-3.6V,5.1,-40C to +105C,153-ball,13x11.5x1.2,Automotive,x8,(Empty)
MTFC128GAPALNS-AIT,128GB,Production,TFBGA,2.7V-3.6V,5.1,-40C to +85C,153-ball,13x11.5x1.2,Automotive,x8,(Empty)
MTFC128GAPALPH-AAT,128GB,Sampling,TBGA,2.7V-3.6V,5.1,-40C to +105C,100-ball,18x14x1.2,Automotive,x8,(Empty)
MTFC128GAPALPH-AIT,128GB,Sampling,TBGA,2.7V-3.6V,5.1,-40C to +85C,100-ball,18x14x1.2,Automotive,x8,(Empty)
MTFC16GAKAEDQ-AAT,16GB,Production,LBGA,System.Object[],5,-40C to +105C,100-ball,14 x 18 x 1.4,Automotive,x8,(Empty)
MTFC16GAKAEEF-AAT,16GB,Production,TFBGA,System.Object[],5,-40C to +105C,169-ball,14 x 18 x 1.2,Automotive,x8,(Empty)
MTFC16GAKAEEF-AIT,16GB,Production,TFBGA,3.3V,5,-40C to +85C,169-ball,14 x 18 x 1.2,Automotive,x8,(Empty)
MTFC16GAPALBH-AAT,16GB,Production,TFBGA,2.7V-3.6V,5.1,-40C to +105C,153-ball,13x11.5x1.1,Automotive,x8,(Empty)
MTFC16GAPALBH-AIT,16GB,Production,TFBGA,2.7V-3.6V,5.1,-40C to +85C,153-ball,13x11.5x1.1,Automotive,x8,(Empty)
MTFC16GAPALBH-IT,16GB,Production,TFBGA,3.3V,5.1,-40C to +85C,153-ball,11.5 x 13 x 1.1,(Empty),x8,(Empty)
MTFC16GAPALGT-AAT,16GB,Production,WFBGA,2.7V-3.6V,5.1,-40C to +105C,153-ball,13x11.5x0.8,Automotive,x8,(Empty)
MTFC16GAPALGT-AIT,16GB,Production,WFBGA,2.7V-3.6V,5.1,-40C to +85C,153-ball,13x11.5x0.8,Automotive,x8,(Empty)
MTFC16GAPALGT-S1 AAT,16GB,Sampling,WFBGA,2.7V-3.6V,5.1,-40C to +105C,153-ball,11.5 x 13 x .8,Automotive,x11.5,S1 - Security Authenta
MTFC16GAPALGT-S1 IT,16GB,Sampling,WFBGA,2.7V-3.6V,5.1,-40C to +85C,153-ball,11.5 x 13 x .8,(Empty),x11.5,S1 - Security Authenta
MTFC16GAPALHT-AAT,16GB,Sampling,VBGA,2.7V-3.6V,5.1,-40C to +105C,100-ball,18x14x1,Automotive,x8,(Empty)
MTFC16GAPALHT-AIT,16GB,Sampling,VBGA,2.7V-3.6V,5.1,-40C to +85C,100-ball,18x14x1,Automotive,x8,(Empty)
MTFC16GAPALNA-AAT,16GB,Production,TBGA,2.7V-3.6V,5.1,-40C to +105C,100-ball,18x14x1.2,Automotive,x8,(Empty)
MTFC16GAPALNA-AIT,16GB,Production,TBGA,2.7V-3.6V,5.1,-40C to +85C,100-ball,18x14x1.2,Automotive,x8,(Empty)
MTFC2GMDEA-0M WT,2GB,Contact Factory,WFBGA,3.3V,4.41,-25C to +85C,153-ball,11.5 x 13 x .8,Embedded,x8,(Empty)
MTFC2GMDEA-0M WT A,2GB,Contact Factory,WFBGA,3.3V,4.41,-25C to +85C,153-ball,11.5 x 13 x 1.4,(Empty),x8,(Empty)
