Part Number,Capacity,Org.,Speed,Voltage,Temp.,Package,Product Status
K4F2E3S4HA-GFCL,12 Gb,x32,4266 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 95 °C,200FBGA,Mass Production
K4F2E3S4HA-GHCL,12 Gb,x32,4266 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 105 °C,200FBGA,Mass Production
K4F2E3S4HA-GUCL,12 Gb,x32,4266 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 125 °C,200FBGA,Mass Production
K4F2E3S4HA-TFCL,12 Gb,x32,4266 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 95 °C,200FBGA,Mass Production
K4F2E3S4HA-THCL,12 Gb,x32,4266 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 105 °C,200FBGA,Mass Production
K4F2E3S4HA-TUCL,12 Gb,x32,4266 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 125 °C,200FBGA,Mass Production
K4F2E3S4HM-MFCJ,12 Gb,x32,3733 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 95 °C,200FBGA,Mass Production
K4F2E3S4HM-MHCJ,12 Gb,x32,3733 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 105 °C,200FBGA,Mass Production
K4F4E3S4HF-GFCJ,4 Gb,x32,3733 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 95 °C,200FBGA,Mass Production
K4F4E3S4HF-GHCJ,4 Gb,x32,3733 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 105 °C,200FBGA,Mass Production
K4F4E3S4HF-GUCJ,4 Gb,x32,3733 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 125 °C,200FBGA,Mass Production
K4F6E304HB-MGCJ,16 Gb,x32,3733 Mbps,1.8 / 1.1 / 1.1 V,-25 ~ 85 °C,200FBGA,Mass Production
K4F6E3D4HB-MFCJ,16 Gb,x32,3733 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 95 °C,200FBGA,Mass Production
K4F6E3D4HB-MHCJ,16 Gb,x32,3733 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 105 °C,200FBGA,Mass Production
K4F6E3S4HM-GFCL,16 Gb,x32,4266 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 95 °C,200FBGA,Mass Production
K4F6E3S4HM-GHCL,16 Gb,x32,4266 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 105 °C,200FBGA,Mass Production
K4F6E3S4HM-GUCL,16 Gb,x32,4266 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 125 °C,200FBGA,Mass Production
K4F6E3S4HM-MGCJ,16 Gb,x32,3733 Mbps,1.8 / 1.1 / 1.1 V,-25 ~ 85 °C,200FBGA,Mass Production
K4F6E3S4HM-TFCL,16 Gb,x32,4266 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 95 °C,200FBGA,Mass Production
K4F6E3S4HM-THCL,16 Gb,x32,4266 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 105 °C,200FBGA,Mass Production
K4F6E3S4HM-TUCL,16 Gb,x32,4266 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 125 °C,200FBGA,Mass Production
K4F8E304HB-MGCJ,8 Gb,x32,3733 Mbps,1.8 / 1.1 / 1.1 V,-25 ~ 85 °C,200FBGA,Mass Production
K4F8E3S4HB-MFCJ,8 Gb,x32,3733 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 95 °C,200FBGA,Mass Production
K4F8E3S4HB-MHCJ,8 Gb,x32,3733 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 105 °C,200FBGA,Mass Production
K4F8E3S4HD-GFCL,8 Gb,x32,4266 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 95 °C,200FBGA,Mass Production
K4F8E3S4HD-GHCL,8 Gb,x32,4266 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 105 °C,200FBGA,Mass Production
K4F8E3S4HD-GUCL,8 Gb,x32,4266 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 125 °C,200FBGA,Mass Production
K4F8E3S4HD-MGCL,8 Gb,x32,4266 Mbps,1.8 / 1.1 / 1.1 V,-25 ~ 85 °C,200FBGA,Mass Production
K4FBE3D4HM-GFCL,32 Gb,x32,4266 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 95 °C,200FBGA,Mass Production
K4FBE3D4HM-GHCL,32 Gb,x32,4266 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 105 °C,200FBGA,Mass Production
K4FBE3D4HM-GUCL,32 Gb,x32,4266 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 125 °C,200FBGA,Mass Production
K4FBE3D4HM-TFCL,32 Gb,x32,4266 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 95 °C,200FBGA,Mass Production
K4FBE3D4HM-THCL,32 Gb,x32,4266 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 105 °C,200FBGA,Mass Production
K4FBE3D4HM-TUCL,32 Gb,x32,4266 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 125 °C,200FBGA,Mass Production
K4FHE3D4HA-GFCL,24 Gb,x32,4266 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 95 °C,200FBGA,Mass Production
K4FHE3D4HA-GHCL,24 Gb,x32,4266 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 105 °C,200FBGA,Mass Production
K4FHE3D4HA-GUCL,24 Gb,x32,4266 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 125 °C,200FBGA,Mass Production
K4FHE3D4HA-TFCL,24 Gb,x32,4266 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 95 °C,200FBGA,Mass Production
K4FHE3D4HA-THCL,24 Gb,x32,4266 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 105 °C,200FBGA,Mass Production
K4FHE3D4HA-TUCL,24 Gb,x32,4266 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 125 °C,200FBGA,Mass Production
K4FHE3D4HM-MFCJ,24 Gb,x32,3733 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 95 °C,200FBGA,Mass Production
K4FHE3D4HM-MHCJ,24 Gb,x32,3733 Mbps,1.8 / 1.1 / 1.1 V,-40 ~ 105 °C,200FBGA,Mass Production
