Part Number,eStorage Den.,eStorage Ver.,DRAM Den.,DRAM Type,Package,Speed,Product Status
KM2B8001CM-BB01,256 GB,UFS 2.1,48 Gb,LPDDR4X,254FBGA,3733 Mbps,Mass Production
KM2V7001CM-B706,128 GB,UFS 2.1,48 Gb,LPDDR4X,254FBGA,3733 Mbps,Mass Production
KM2V8001CM-B707,128 GB,UFS 2.1,48 Gb,LPDDR4X,254FBGA,4266 Mbps,Mass Production
KM3H6001CA-B515,64 GB,eMMC 5.1,48 Gb,LPDDR4X,254FBGA,3733 Mbps,Mass Production
KM3V6001CM-B705,128 GB,eMMC 5.1,48 Gb,LPDDR4X,254FBGA,3733 Mbps,Mass Production
KM4X6001KM-B321,32 GB,eMMC 5.1,16 Gb,LPDDR4X,254FBGA,4266 Mbps,Sample
KM5V7001DM-B621,128 GB,UFS 2.1,32 Gb,LPDDR4X,254FBGA,3733 Mbps,Mass Production
KM5V8001DM-B622,128 GB,UFS 2.1,48 Gb,LPDDR4X,254FBGA,4266 Mbps,Mass Production
KM8B8001JM-BC01,256 GB,UFS 2.1,64 Gb,LPDDR4X,254FBGA,4266 Mbps,Mass Production
KM8F8001MM-B813,256 GB,UFS 2.1,96 Gb,LPDDR4X,254FBGA,4266 Mbps,Sample
KM8V8001JM-B813,128 GB,UFS 2.1,64 Gb,LPDDR4X,254FBGA,4266 Mbps,Mass Production
KMDD6001DM-B320,32 GB,eMMC 5.1,32 Gb,LPDDR4X,254FBGA,3733 Mbps,Mass Production
KMDH6001DA-B422,64 GB,eMMC 5.1,32 Gb,LPDDR4X,254FBGA,3733 Mbps,Mass Production
KMDP60018M-B425,64 GB,eMMC 5.1,24 Gb,LPDDR4X,254FBGA,4266 Mbps,Sample
KMDV6001DM-B620,128 GB,eMMC 5.1,32 Gb,LPDDR4X,254FBGA,3733 Mbps,Mass Production
KMDX60018M-B425,32 GB,eMMC 5.1,24 Gb,LPDDR4X,254FBGA,4266 Mbps,Sample
KMDX6001DM-B422,32 GB,eMMC 5.1,32 Gb,LPDDR4X,254FBGA,3733 Mbps,Mass Production
KMFE60012A-B214,16 GB,eMMC 5.1,8 Gb,LPDDR3,221FBGA,1866 Mbps,Sample
KMFN60012B-B214,8 GB,eMMC 5.1,8 Gb,LPDDR3,221FBGA,1866 Mbps,Sample
KMGP6001BA-B514,64  GB,eMMC 5.1,24 Gb,LPDDR3,221FBGA,1866 Mbps,Sample
KMGX6001BA-B514,32 GB,eMMC 5.1,24 Gb,LPDDR3,221FBGA,1866 Mbps,Sample
KMQE60013B-B318,16 GB,eMMC 5.1,16 Gb,LPDDR3,221FBGA,1866 Mbps,Sample
KMQX60013A-B419,32  GB,eMMC 5.1,16 Gb,LPDDR3,221FBGA,1866 Mbps,Sample
