Part Number,Version,Capacity,Voltage,Interface,Package Size,Temp.,Product Status
KLUBG4G1ZF-B0CP,UFS 2.1,32 GB,1.8 / 3.3 V,G3 2Lane,11.5 x 13 x 1.2 mm,-40 ~ 85 °C,Mass Production
KLUBG4G1ZF-B0CQ,UFS 2.1,32 GB,1.8 / 3.3 V,G3 2Lane,11.5 x 13 x 1.2 mm,-40 ~ 105 °C,Mass Production
KLUCG2K1EA-B0C1,UFS 2.1,64 GB,1.8 / 3.3 V,G3 2Lane,11.5 x 13 x 1.0 mm,-25 ~ 85 °C,Mass Production
KLUCG2U1YB-B0CP,UFS 2.1,64 GB,1.8 / 3.3 V,G3 2Lane,11.5 x 13 x 1.2 mm,-40 ~ 85 °C,Mass Production
KLUCG2U1YB-B0CQ,UFS 2.1,64 GB,1.8 / 3.3 V,G3 2Lane,11.5 x 13 x 1.2 mm,-40 ~ 105 °C,Mass Production
KLUCG4J1ED-B0C1,UFS 2.1,64 GB,1.8 / 3.3 V,G3 2Lane,11.5 x 13 x 1.0 mm,-25 ~ 85 °C,Mass Production
KLUCG4J1ZD-B0CP,UFS 2.1,64 GB,1.8 / 3.3 V,G3 2Lane,11.5 x 13 x 1.2 mm,-40 ~ 85 °C,Mass Production
KLUCG4J1ZD-B0CQ,UFS 2.1,64 GB,1.8 / 3.3 V,G3 2Lane,11.5 x 13 x 1.2 mm,-40 ~ 105 °C,Mass Production
KLUDG4U1EA-B0C1,UFS 2.1,128 GB,1.8 / 3.3 V,G3 2Lane,11.5 x 13 x 1.0 mm,-25 ~ 85 °C,Mass Production
KLUDG4U1FB-B0C1,UFS 2.1,128 GB,1.8 / 3.3 V,G3 2Lane,11.5 x 13 x 1.0 mm,-25 ~ 85 °C,Mass Production
KLUDG4U1YB-B0CP,UFS 2.1,128 GB,1.8 / 3.3 V,G3 2Lane,11.5 x 13 x 1.2 mm,-40 ~ 85 °C,Mass Production
KLUDG4U1YB-B0CQ,UFS 2.1,128 GB,1.8 / 3.3 V,G3 2Lane,11.5 x 13 x 1.2 mm,-40 ~ 105 °C,Mass Production
KLUDG8J1ZD-B0CP,UFS 2.1,128 GB,1.8 / 3.3 V,G3 2Lane,11.5 x 13 x 1.2 mm,-40 ~ 85 °C,Mass Production
KLUDG8J1ZD-B0CQ,UFS 2.1,128 GB,1.8 / 3.3 V,G3 2Lane,11.5 x 13 x 1.2 mm,-40 ~ 105 °C,Mass Production
KLUEG8U1EA-B0C1,UFS 2.1,256 GB,1.8 / 3.3 V,G3 2Lane,11.5 x 13 x 1.0 mm,-25 ~ 85 °C,Mass Production
KLUEG8U1YB-B0CP,UFS 2.1,256 GB,1.8 / 3.3 V,G3 2Lane,11.5 x 13 x 1.2 mm,-40 ~ 85 °C,Mass Production
KLUEG8U1YB-B0CQ,UFS 2.1,256 GB,1.8 / 3.3 V,G3 2Lane,11.5 x 13 x 1.2 mm,-40 ~ 105 °C,Mass Production
KLUEGAJ1ZD-B0CP,UFS 2.1,256 GB,1.8 / 3.3 V,G3 2Lane,11.5 x 13 x 1.72 mm,-40 ~ 85 °C,Mass Production
KLUEGAJ1ZD-B0CQ,UFS 2.1,256 GB,1.8 / 3.3 V,G3 2Lane,11.5 x 13 x 1.72 mm,-40 ~ 105 °C,Mass Production
KLUFG8R1EM-B0C1,UFS 2.1,512 GB,1.8 / 3.3 V,G3 2Lane,11.5 x 13 x 1.0 mm,-25 ~ 85 °C,Mass Production
KLUGGAR1FA-B2C1,UFS 2.1,1 TB,1.8 / 3.3 V,G3 2Lane,11.5 x 13 x 1.4 mm,-25 ~ 85 °C,Mass Production
KLUGGARHDA-B0D1,UFS 3.0,1 TB,1.2 / 2.5 V,G4 2Lane,11.5 x 13 x 1.25 mm,-25 ~ 85 °C,Mass Production
